기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 제주
기간 : 20210101~20211231

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2021-04-16,184,15.1,11.1,19.7
2021-04-17,184,13.7,11.3,16.3
2021-04-18,184,13,11.1,16.5
2021-04-19,184,14.5,9.9,19.1
2021-04-20,184,14.8,10.3,18.5
2021-04-21,184,17.5,12.3,22.8
2021-04-22,184,21,16.8,25.9
2021-04-23,184,19.3,16.5,25
2021-04-24,184,17.5,15.9,21.9
2021-04-25,184,16.9,14.7,20.7
2021-04-26,184,16.5,13.5,20.9
2021-04-27,184,17.1,14,21.5
2021-04-28,184,17,14.9,19.5
2021-04-29,184,18.8,14.7,23.3
2021-04-30,184,16.3,11.3,19.9
2021-05-01,184,13.3,11.5,16.3
2021-05-02,184,13.8,10.9,16.7
2021-05-03,184,15,9.4,18.9
2021-05-04,184,19,15.1,23.1
2021-05-05,184,17.1,12.9,22.6
2021-05-06,184,18.4,13.1,23.4
2021-05-07,184,19.5,14.4,26.6
2021-05-08,184,18.3,12.7,25.3
2021-05-09,184,18.9,14.9,23.9
2021-05-10,184,20.3,17.3,23.4
2021-05-11,184,18.6,17.4,20.6
2021-05-12,184,18.3,16.1,21
2021-05-13,184,19.6,17.7,22.2
2021-05-14,184,21.5,17.9,26.5
2021-05-15,184,23.7,19.6,30.9
2021-05-16,184,23.5,17.4,28.5
2021-05-17,184,16.7,15.7,18.8
2021-05-18,184,18.6,15.3,22.9
2021-05-19,184,19.7,17.2,21.8
2021-05-20,184,18.3,15.9,23.4
2021-05-21,184,18.2,16.1,21.9
2021-05-22,184,19,17.2,22
2021-05-23,184,19.8,17.3,23.3
2021-05-24,184,19.4,16.1,23.2
2021-05-25,184,20.2,16.1,25
2021-05-26,184,18.8,15.3,25.4
2021-05-27,184,19.1,15.5,24
2021-05-28,184,20.7,16.4,29.2
2021-05-29,184,19.7,16.5,23.8
2021-05-30,184,21.4,16.6,27.7
2021-05-31,184,22,19.2,27.5
2021-06-01,184,22.9,19,27.4
2021-06-02,184,24.5,21.4,29.1
2021-06-03,184,23.7,19.2,30.9
2021-06-04,184,20.6,18.4,23.4
2021-06-05,184,24.1,19.7,29.3
2021-06-06,184,22.1,19.4,26.3
2021-06-07,184,21.8,19.4,24.7
2021-06-08,184,24.2,20.2,30.5
2021-06-09,184,26.3,22.5,31.5
2021-06-10,184,25.7,22.2,28.2
2021-06-11,184,21.6,18.9,25.7
2021-06-12,184,22.7,20.7,26.4
2021-06-13,184,20.2,18.5,23.1
2021-06-14,184,21.4,19.3,24.3
2021-06-15,184,23.1,21.1,25.3
2021-06-16,184,21.1,20.1,22
2021-06-17,184,21.4,20.8,22.6
2021-06-18,184,22.1,21,24.4
2021-06-19,184,23.1,20.7,27.2
2021-06-20,184,23.6,19.5,26.9
2021-06-21,184,24.7,21.4,28.5
2021-06-22,184,24,21.6,28.1
2021-06-23,184,24,21.8,26.3
2021-06-24,184,24.7,21.7,28.5
2021-06-25,184,25.2,22.1,29.2
2021-06-26,184,25.7,22.1,30.8
2021-06-27,184,24.7,23.7,28
2021-06-28,184,24.3,22.7,27.1
2021-06-29,184,24.6,22.3,27.1
2021-06-30,184,24.9,22.3,28.5
2021-07-01,184,24.6,22.9,27.1
2021-07-02,184,24.8,23.2,26.9
2021-07-03,184,27.4,23.8,31.9
2021-07-04,184,24.4,22.7,28.4
2021-07-05,184,27.6,23.4,31.2
2021-07-06,184,29.5,28.1,32
2021-07-07,184,28.8,25.9,32.1
2021-07-08,184,27.8,26.4,32
2021-07-09,184,27.3,24.8,30.5
2021-07-10,184,28,25.5,32.6
2021-07-11,184,28.4,25.3,33
2021-07-12,184,29,26.1,32.4
2021-07-13,184,29,26.5,32.4
2021-07-14,184,29,27.2,30.9
2021-07-15,184,29,26.5,32.3
2021-07-16,184,28.5,26.4,31.9
2021-07-17,184,26.9,25,30.7
2021-07-18,184,27,23.7,31.1
2021-07-19,184,29,25.4,33.2
2021-07-20,184,27.7,26.5,29.8
2021-07-21,184,27.8,26,29.8
2021-07-22,184,27.6,26.3,30.5
2021-07-23,184,27.1,26.3,29.2
2021-07-24,184,27.9,26,31.8
2021-07-25,184,27.2,26,28.3
2021-07-26,184,27.9,26.4,30.5
2021-07-27,184,29.1,26.3,33.6
2021-07-28,184,29.4,26.1,34.2
2021-07-29,184,28.5,25.3,33.6
2021-07-30,184,28,25.4,30.6
2021-07-31,184,27,24.1,31.1
2021-08-01,184,28.4,26.1,31.8
2021-08-02,184,27.7,25.8,31
2021-08-03,184,29.1,25.8,33
2021-08-04,184,29.9,26.2,33.8
2021-08-05,184,29.8,27.4,33.7
2021-08-06,184,28.9,26.3,31.9
2021-08-07,184,28.9,26.9,31.4
2021-08-08,184,27.9,26.6,29.5
2021-08-09,184,28.3,26.3,31.2
2021-08-10,184,27.9,26.3,30.7
2021-08-11,184,25.5,23.3,27.3
2021-08-12,184,25.7,23.9,29.6
2021-08-13,184,24.4,23.1,26.3
2021-08-14,184,23.1,22.2,24.5
2021-08-15,184,24.9,22.8,26.8
2021-08-16,184,24.5,23.6,26.9
2021-08-17,184,25.5,23.3,28.3
2021-08-18,184,26.1,23.1,28.6
2021-08-19,184,25.6,23.3,28.6
2021-08-20,184,27.9,23.3,32
2021-08-21,184,27,24.7,29.4
2021-08-22,184,26,24.9,27.6
2021-08-23,184,27,25.1,31.6
2021-08-24,184,28.4,26.5,31.1
2021-08-25,184,27.8,24.1,31.2
2021-08-26,184,27.5,25.7,29.4
2021-08-27,184,29.5,25.9,33.2
2021-08-28,184,29.2,26.5,33
2021-08-29,184,29.3,25.1,33.6
2021-08-30,184,28.1,26.6,30.9
2021-08-31,184,27.9,24.8,30.5
2021-09-01,184,28.4,25.6,33.3
2021-09-02,184,25,23,27.5
2021-09-03,184,24.2,23.3,25.6
2021-09-04,184,25.3,23.1,28.7
2021-09-05,184,24.5,23.5,26.5
2021-09-06,184,25.5,23.5,28.2
2021-09-07,184,26.2,24.4,30.8
2021-09-08,184,25.2,21.9,28.7
2021-09-09,184,25.4,20.9,29.4
2021-09-10,184,24,21.7,27.4
2021-09-11,184,25.5,22.6,28.6
2021-09-12,184,25.8,23.7,27.6
2021-09-13,184,24.5,22.9,26.2
2021-09-14,184,23.9,23.1,25.3
2021-09-15,184,23.4,22.2,24.4
2021-09-16,184,22.9,21.8,23.5
2021-09-17,184,23.3,22.2,25.6
2021-09-18,184,24.7,22.7,29
2021-09-19,184,24.5,21.8,27.3
2021-09-20,184,26.5,22.4,31.9
2021-09-21,184,25.2,21.8,29.1
2021-09-22,184,27.3,21.4,32.2
2021-09-23,184,24.9,20.8,29.2
2021-09-24,184,23.4,19,28.1
2021-09-25,184,24.2,22,27.2
2021-09-26,184,24.4,22.6,28.4
2021-09-27,184,24,22,27.4
2021-09-28,184,25.3,23.2,28.1
2021-09-29,184,26.2,23.2,30.2
2021-09-30,184,23,21.8,25.4
2021-10-01,184,22.9,19.3,27.1
2021-10-02,184,23.5,19.6,28
2021-10-03,184,24.7,19.2,31.1
2021-10-04,184,25.5,21.6,30.1
2021-10-05,184,25.7,21.4,31
2021-10-06,184,25.1,22.5,27.7
2021-10-07,184,24.6,21.2,28.4
2021-10-08,184,24.5,21.8,27.8
2021-10-09,184,24.3,23.4,25.5
2021-10-10,184,26.1,22.2,31.8
2021-10-11,184,22,20.9,24.1
2021-10-12,184,22.2,21.3,22.9
2021-10-13,184,22.5,21.6,23.8
2021-10-14,184,24,22.3,28
2021-10-15,184,23.5,20.7,27.1
2021-10-16,184,17,14.4,21.1
2021-10-17,184,13.3,11,16.1
2021-10-18,184,14,9,18.4
2021-10-19,184,16.2,12.3,20.8
2021-10-20,184,14.4,13.7,16.3
2021-10-21,184,15.6,13.6,18.9
2021-10-22,184,16.5,14.8,19.6
2021-10-23,184,16.2,12.1,20
2021-10-24,184,17.4,13.6,20.5
2021-10-25,184,16.8,13.5,20.8
2021-10-26,184,16.3,12.2,21.1
2021-10-27,184,17.6,13.8,22.1
2021-10-28,184,16.7,13.3,20.9
2021-10-29,184,18.4,15.9,21.8
2021-10-30,184,17.3,14.8,21.5
2021-10-31,184,17.3,13.6,22.1
2021-11-01,184,17.6,14.4,21.5
2021-11-02,184,16.4,14.9,19.8
2021-11-03,184,16.1,14.1,19.5
2021-11-04,184,16.5,13,21.5
2021-11-05,184,17.5,13,20.9
2021-11-06,184,19.2,17.5,22.7
2021-11-07,184,19.1,16.3,23.2
2021-11-08,184,13.6,11.6,19.4
2021-11-09,184,12.3,9.1,14.6
2021-11-10,184,11.7,9.1,13.7
2021-11-11,184,13.2,10.8,17.2
2021-11-12,184,12.6,9.5,15.4
2021-11-13,184,14.1,12,17.1
2021-11-14,184,15.5,12.8,19.6
2021-11-15,184,14.2,11.2,19.4
2021-11-16,184,13.3,10.7,18.6
2021-11-17,184,13,8.7,18.3
2021-11-18,184,13.6,9.7,18.6
2021-11-19,184,13.4,9.1,19.5
2021-11-20,184,13.9,10.2,19
2021-11-21,184,15.8,12.2,18.7
2021-11-22,184,10.8,7.5,16.3
2021-11-23,184,10.2,8,11.2
2021-11-24,184,11.9,10.3,14.7
2021-11-25,184,13.6,10.3,17.9
2021-11-26,184,11.5,8.9,15.8
2021-11-27,184,10.6,8.3,14.4
2021-11-28,184,13.1,8.6,18.7
2021-11-29,184,13.9,9,19.9
2021-11-30,184,12.5,7,16.1
2021-12-01,184,8,7,9.4
2021-12-02,184,9.1,7,12.4
2021-12-03,184,11.2,8.6,14.5
2021-12-04,184,11.3,8.7,14.4
2021-12-05,184,9.7,7.1,14.3
2021-12-06,184,10.5,7.2,16.8
2021-12-07,184,11.5,7.8,15.3
2021-12-08,184,11.3,8,16
2021-12-09,184,12.6,9.9,15.4
2021-12-10,184,13.6,11.6,16.3
2021-12-11,184,12.3,11.2,13.3
2021-12-12,184,10.6,6.4,13.6
2021-12-13,184,6.6,6,7.4
2021-12-14,184,8.5,5.8,12.7
2021-12-15,184,11.3,7.4,16.2
2021-12-16,184,10.9,9.6,12.1
2021-12-17,184,5.9,2.6,11.8
2021-12-18,184,4,2,7.8
2021-12-19,184,8,5.4,10.5
2021-12-20,184,11.3,5.6,15
2021-12-21,184,12.4,8.4,17.4
2021-12-22,184,10,5.8,16.7
2021-12-23,184,9.9,5.9,16.2
2021-12-24,184,9.3,5.5,14.1
2021-12-25,184,2.5,1.3,5.5
2021-12-26,184,1,-0.5,3
2021-12-27,184,4.1,0.8,6.5
2021-12-28,184,7.2,5.9,8.4
2021-12-29,184,9.3,6.6,11.5
2021-12-30,184,6.9,5.8,8.4
2021-12-31,184,4.9,3.5,6.4

